YEAR,TIME,VISIBILITY,DISTRICT,INVAGE,DRIVCOND,ACCLASS,INJURY
2006,236,Clear,Toronto and East York,50 to 54,None,Non-Fatal Injury,Major
2006,236,Clear,Toronto and East York,15 to 19,None,Non-Fatal Injury,Minor
2006,236,Clear,Toronto and East York,55 to 59,Normal,Non-Fatal Injury,Minor
2006,236,Clear,Toronto and East York,20 to 24,None,Non-Fatal Injury,Minor
2006,236,Clear,Toronto and East York,15 to 19,None,Non-Fatal Injury,Minor
2006,236,Clear,Toronto and East York,20 to 24,None,Non-Fatal Injury,Minor
2006,236,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,236,Clear,Toronto and East York,25 to 29,"Ability Impaired, Alcohol Over .08",Non-Fatal Injury,None
2006,315,Snow,Toronto and East York,10 to 14,None,Non-Fatal Injury,Minor
2006,315,Snow,Toronto and East York,15 to 19,None,Non-Fatal Injury,Major
2006,315,Snow,Toronto and East York,15 to 19,None,Non-Fatal Injury,Minor
2006,315,Snow,Toronto and East York,20 to 24,Inattentive,Non-Fatal Injury,None
2006,315,Snow,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,705,Other,Toronto and East York,30 to 34,Inattentive,Non-Fatal Injury,None
2006,705,Other,Toronto and East York,45 to 49,None,Non-Fatal Injury,Major
2006,1940,Rain,Toronto and East York,25 to 29,Normal,Non-Fatal Injury,None
2006,1940,Rain,Toronto and East York,75 to 79,None,Non-Fatal Injury,Major
2006,2210,Clear,North York,50 to 54,Normal,Non-Fatal Injury,None
2006,2210,Clear,North York,25 to 29,None,Non-Fatal Injury,Major
2006,2325,Clear,Scarborough,50 to 54,Unknown,Fatal,Fatal
2006,2325,Clear,Scarborough,unknown,None,Fatal,None
2006,2325,Clear,Scarborough,35 to 39,Normal,Fatal,Major
2006,1507,Clear,Toronto and East York,40 to 44,Normal,Non-Fatal Injury,Minimal
2006,1507,Clear,Toronto and East York,45 to 49,Normal,Non-Fatal Injury,Major
2006,1507,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1507,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1828,Clear,Etobicoke York,20 to 24,None,Fatal,None
2006,1828,Clear,Etobicoke York,20 to 24,None,Fatal,None
2006,1828,Clear,Etobicoke York,10 to 14,None,Fatal,None
2006,1828,Clear,Etobicoke York,unknown,None,Fatal,None
2006,1828,Clear,Etobicoke York,20 to 24,Normal,Fatal,None
2006,1828,Clear,Etobicoke York,10 to 14,None,Fatal,Fatal
2006,1435,Clear,Scarborough,unknown,None,Fatal,None
2006,1435,Clear,Scarborough,50 to 54,Normal,Fatal,None
2006,1435,Clear,Scarborough,75 to 79,None,Fatal,Fatal
2006,1820,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,1820,Clear,Scarborough,55 to 59,Normal,Non-Fatal Injury,None
2006,1820,Clear,Scarborough,50 to 54,None,Non-Fatal Injury,Major
2006,804,Clear,Scarborough,80 to 84,Medical or Physical Disability,Non-Fatal Injury,Minor
2006,804,Clear,Scarborough,55 to 59,Normal,Non-Fatal Injury,Major
2006,1120,Clear,North York,15 to 19,None,Fatal,Minimal
2006,1120,Clear,North York,15 to 19,None,Fatal,Minimal
2006,1120,Clear,North York,15 to 19,None,Fatal,Fatal
2006,1120,Clear,North York,unknown,None,Fatal,None
2006,1120,Clear,North York,15 to 19,Inattentive,Fatal,Major
2006,1120,Clear,North York,unknown,None,Fatal,None
2006,904,Strong wind,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,904,Strong wind,Etobicoke York,40 to 44,Normal,Non-Fatal Injury,None
2006,904,Strong wind,Etobicoke York,80 to 84,None,Non-Fatal Injury,Major
2006,2058,Clear,North York,20 to 24,Normal,Non-Fatal Injury,None
2006,2058,Clear,North York,25 to 29,None,Non-Fatal Injury,Major
2006,1812,Clear,Toronto and East York,25 to 29,Normal,Non-Fatal Injury,None
2006,1812,Clear,Toronto and East York,50 to 54,None,Non-Fatal Injury,Major
2006,1940,Rain,North York,40 to 44,Normal,Non-Fatal Injury,None
2006,1940,Rain,North York,55 to 59,None,Non-Fatal Injury,Major
2006,2200,Rain,Scarborough,55 to 59,Normal,Non-Fatal Injury,None
2006,2200,Rain,Scarborough,60 to 64,None,Non-Fatal Injury,Major
2006,2350,Rain,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,2350,Rain,Toronto and East York,35 to 39,Unknown,Non-Fatal Injury,None
2006,2350,Rain,Toronto and East York,40 to 44,None,Non-Fatal Injury,Major
2006,1829,Clear,Scarborough,25 to 29,Unknown,Fatal,None
2006,1829,Clear,Scarborough,40 to 44,None,Fatal,Major
2006,1829,Clear,Scarborough,50 to 54,None,Fatal,Fatal
2006,230,Clear,Scarborough,20 to 24,None,Non-Fatal Injury,Major
2006,230,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,230,Clear,Scarborough,30 to 34,Had Been Drinking,Non-Fatal Injury,None
2006,1800,Clear,Toronto and East York,85 to 89,None,Non-Fatal Injury,Major
2006,1800,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1800,Clear,Toronto and East York,50 to 54,Normal,Non-Fatal Injury,None
2006,145,Clear,Scarborough,35 to 39,None,Fatal,Major
2006,145,Clear,Scarborough,unknown,None,Fatal,None
2006,145,Clear,Scarborough,40 to 44,Normal,Fatal,None
2006,145,Clear,Scarborough,35 to 39,Unknown,Fatal,Fatal
2006,754,Clear,Scarborough,10 to 14,None,Fatal,None
2006,754,Clear,Scarborough,40 to 44,Inattentive,Fatal,None
2006,754,Clear,Scarborough,75 to 79,None,Fatal,Fatal
2006,2220,Rain,Toronto and East York,15 to 19,None,Fatal,Minimal
2006,2220,Rain,Toronto and East York,15 to 19,Normal,Fatal,None
2006,2220,Rain,Toronto and East York,unknown,None,Fatal,None
2006,2220,Rain,Toronto and East York,45 to 49,Normal,Fatal,Fatal
2006,2220,Rain,Toronto and East York,15 to 19,Normal,Fatal,Minimal
